# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.0 Build 156 04/24/2013 SJ Web Edition
# File: G:\Nova pasta\ProjetoRelogioDigital-master\controle\controle.csv
# Generated on: Tue Jun 12 23:35:08 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
DisplayHEX4[6],Output,PIN_T3,1,B1_N0,PIN_T3,,,,
DisplayHEX4[5],Output,PIN_R6,1,B1_N0,PIN_R6,,,,
DisplayHEX4[4],Output,PIN_R7,1,B1_N0,PIN_R7,,,,
DisplayHEX4[3],Output,PIN_T4,1,B1_N0,PIN_T4,,,,
DisplayHEX4[2],Output,PIN_U2,1,B1_N0,PIN_U2,,,,
DisplayHEX4[1],Output,PIN_U1,1,B1_N0,PIN_U1,,,,
DisplayHEX4[0],Output,PIN_U9,1,B1_N0,PIN_U9,,,,
DisplayHEX5[6],Output,PIN_R3,1,B1_N0,PIN_R3,,,,
DisplayHEX5[5],Output,PIN_R4,1,B1_N0,PIN_R4,,,,
DisplayHEX5[4],Output,PIN_R5,1,B1_N0,PIN_R5,,,,
DisplayHEX5[3],Output,PIN_T9,1,B1_N0,PIN_T9,,,,
DisplayHEX5[2],Output,PIN_P7,1,B1_N0,PIN_P7,,,,
DisplayHEX5[1],Output,PIN_P6,1,B1_N0,PIN_P6,,,,
DisplayHEX5[0],Output,PIN_T2,1,B1_N0,PIN_T2,,,,
DisplayHEX6[6],Output,PIN_M4,2,B2_N1,PIN_M4,,,,
DisplayHEX6[5],Output,PIN_M5,2,B2_N1,PIN_M5,,,,
DisplayHEX6[4],Output,PIN_M3,2,B2_N1,PIN_M3,,,,
DisplayHEX6[3],Output,PIN_M2,2,B2_N1,PIN_M2,,,,
DisplayHEX6[2],Output,PIN_P3,1,B1_N0,PIN_P3,,,,
DisplayHEX6[1],Output,PIN_P4,1,B1_N0,PIN_P4,,,,
DisplayHEX6[0],Output,PIN_R2,1,B1_N0,PIN_R2,,,,
DisplayHEX7[6],Output,PIN_N9,2,B2_N1,PIN_N9,,,,
DisplayHEX7[5],Output,PIN_P9,2,B2_N1,PIN_P9,,,,
DisplayHEX7[4],Output,PIN_L7,2,B2_N1,PIN_L7,,,,
DisplayHEX7[3],Output,PIN_L6,2,B2_N1,PIN_L6,,,,
DisplayHEX7[2],Output,PIN_L9,2,B2_N1,PIN_L9,,,,
DisplayHEX7[1],Output,PIN_L2,2,B2_N1,PIN_L2,,,,
DisplayHEX7[0],Output,PIN_L3,2,B2_N1,PIN_L3,,,,
ledConfig,Output,PIN_AD12,8,B8_N0,PIN_AD12,,,,
mode,Input,PIN_W26,6,B6_N1,PIN_W26,,,,
reset,Input,PIN_G26,5,B5_N0,PIN_G26,,,,
set,Input,PIN_N23,5,B5_N1,PIN_N23,,,,
starStop,Input,PIN_P23,6,B6_N0,PIN_P23,,,,
